Subject,Fp1_delta,Fp1_theta,Fp1_alpha,Fp1_beta,Fp1_gamma,Fp2_delta,Fp2_theta,Fp2_alpha,Fp2_beta,Fp2_gamma,F3_delta,F3_theta,F3_alpha,F3_beta,F3_gamma,F4_delta,F4_theta,F4_alpha,F4_beta,F4_gamma,C3_delta,C3_theta,C3_alpha,C3_beta,C3_gamma,C4_delta,C4_theta,C4_alpha,C4_beta,C4_gamma,P3_delta,P3_theta,P3_alpha,P3_beta,P3_gamma,P4_delta,P4_theta,P4_alpha,P4_beta,P4_gamma,O1_delta,O1_theta,O1_alpha,O1_beta,O1_gamma,O2_delta,O2_theta,O2_alpha,O2_beta,O2_gamma,F7_delta,F7_theta,F7_alpha,F7_beta,F7_gamma,F8_delta,F8_theta,F8_alpha,F8_beta,F8_gamma,T3_delta,T3_theta,T3_alpha,T3_beta,T3_gamma,T4_delta,T4_theta,T4_alpha,T4_beta,T4_gamma,T5_delta,T5_theta,T5_alpha,T5_beta,T5_gamma,T6_delta,T6_theta,T6_alpha,T6_beta,T6_gamma,Fz_delta,Fz_theta,Fz_alpha,Fz_beta,Fz_gamma,Cz_delta,Cz_theta,Cz_alpha,Cz_beta,Cz_gamma,Pz_delta,Pz_theta,Pz_alpha,Pz_beta,Pz_gamma
sub-045,2.0330794463884468e-12,4.2517243669939957e-13,5.116366271682457e-13,1.0880900626963495e-13,3.106519932926314e-14,1.6467671949913629e-12,3.4619259235538464e-13,4.760500599359426e-13,9.319305878611699e-14,2.869411453095589e-14,3.947956604979178e-12,1.0890501319352218e-12,9.048189185454686e-13,2.3722025934379405e-13,8.000278265835059e-14,3.1988961321695e-12,5.701588221377041e-13,5.702644616833921e-13,2.149381706699498e-13,1.8250453115353634e-13,3.5304060821072488e-12,1.1791803082738682e-12,1.1976086969379527e-12,2.595680232664664e-13,7.639629690722736e-14,6.669274099410078e-12,7.371019060220844e-13,8.641260958909062e-13,2.2710073538949517e-13,7.446610850164621e-14,3.4731772298050106e-12,9.109354271442132e-13,1.5126828194169333e-12,2.8346411002623473e-13,4.911289455514014e-14,2.273000518079492e-12,6.978520860864734e-13,1.3947363139017541e-12,2.7958786445447663e-13,4.8771273430864317e-14,3.75325284736868e-12,1.2263431208130234e-12,1.8264859397319687e-12,2.938386829897124e-13,7.007159556245987e-14,4.0308619264846005e-12,1.2888634986972736e-12,1.9647102050753873e-12,2.95821771952016e-13,7.713279442582906e-14,4.1070101987427465e-12,7.983912230776731e-13,8.412145321318388e-13,2.1109462361219137e-13,9.480827257181562e-14,4.3829364638767834e-12,7.076278703717193e-13,6.815955118374954e-13,2.4306322441329324e-13,1.9802550130054531e-13,4.6156049197014456e-12,1.6230881161893514e-12,2.5280087600731764e-12,4.4751778697951895e-13,9.117161936766463e-14,3.286759782662611e-11,2.737165960859021e-12,1.2436829615475824e-12,3.10186895930463e-13,4.289911970412324e-13,8.474774038132704e-12,1.5318815325585341e-12,2.4127055159088218e-12,4.711913531029842e-13,9.396682053843621e-14,5.608713343016855e-12,9.979903383701395e-13,1.5322256528390662e-12,2.673046519950291e-13,6.915665520805887e-14,1.219897587467455e-11,1.1987496983742744e-12,7.851056268480421e-13,1.70549057961672e-13,7.866094507555012e-14,2.9504693503460584e-12,9.528771028748864e-13,6.583340997013035e-13,1.518727539445886e-13,8.084025734021384e-14,6.29875170664861e-12,8.407913261464468e-13,6.850323588568064e-13,1.5132647929285723e-13,3.4323751851663856e-14
sub-046,7.60586136743488e-12,2.374151393108666e-12,4.70842854774214e-12,6.103212936034624e-13,2.0028727505442306e-13,3.167996215137299e-11,3.288902085251201e-12,5.487182782196825e-12,1.0626577656981383e-12,2.6264046607179365e-13,4.1144451543668106e-12,2.8216752997354503e-12,4.315151155700901e-12,9.670863038485587e-13,2.067176051804845e-13,6.0703905503306225e-12,3.1295928615998024e-12,4.67869616189659e-12,1.0293648196514703e-12,2.135169826619256e-13,4.902031164440413e-12,3.2261365383233846e-12,4.844519852102487e-12,9.261472190554317e-13,1.3186307999231188e-13,4.884266915614607e-12,1.969804346850892e-12,3.1180037378716246e-12,7.297615866132441e-13,1.409397727657851e-13,3.672802333332631e-12,4.9013484372221374e-12,8.45133818632212e-12,9.746687638981754e-13,9.359360012678065e-14,5.714448455527378e-12,2.8226119330154045e-12,7.1543128062577466e-12,8.690572058345384e-13,9.296225528010511e-14,4.576083292659201e-12,4.691155770364637e-12,1.2917519075421036e-11,1.0749285621862297e-12,1.5365820660241885e-13,1.2805710408207659e-11,4.655193047625003e-12,1.4986427248536358e-11,1.1610527838129888e-12,1.8684479100678278e-13,7.802648589481413e-12,2.3421240883831535e-12,4.646508136562338e-12,9.45005439148086e-13,4.017690561762836e-13,1.3812490351887822e-11,2.405035692809679e-12,4.379958884878393e-12,6.631026205142088e-13,1.4317600902545005e-13,3.5657164993028474e-12,2.1077974022260033e-12,4.18684088628471e-12,9.242168549143524e-13,1.687248423585374e-13,1.802865653225894e-11,1.981127866554499e-12,3.5449435028579882e-12,6.872239230346016e-13,1.8741192922442437e-13,3.9856620052883245e-12,4.8525189624604935e-12,1.0821035870084551e-11,1.2428619334326913e-12,1.6817284645654582e-13,6.112808730620294e-12,3.1046918016546674e-12,8.866034041401088e-12,8.326984267436631e-13,1.276703002781702e-13,3.3026059298376494e-12,4.014002934479704e-12,4.696693992673301e-12,9.610796058837498e-13,1.2810577854455052e-13,7.366912834689203e-12,4.344869363486598e-12,3.8711766908673196e-12,1.5056718835696241e-12,1.9933165461975383e-13,4.353286400333415e-12,3.0350493883988013e-12,5.666661214412653e-12,8.108951281300005e-13,9.674830176691188e-14
sub-047,2.992392625484949e-12,1.3673575472745376e-12,4.102188327924536e-12,3.207311530449083e-13,1.016911675220043e-13,2.2685170528519782e-12,1.1522497161246221e-12,3.6803174784163314e-12,2.7973747123153763e-13,6.134404091826773e-14,1.959384732797853e-12,7.787919260619178e-13,2.459077039482592e-12,2.5453942853692763e-13,8.748370656236321e-14,3.2311695440268234e-12,9.49474606389318e-13,2.6427598392477347e-12,3.047513869667449e-13,1.2215578290966446e-13,1.0977914793399303e-12,6.193201577805297e-13,1.590569274520898e-12,1.862304074297918e-13,5.28743245452188e-14,8.699040902426013e-13,8.85238822073515e-13,2.4734827260899854e-12,2.551870321721166e-13,7.061605536205115e-14,6.186070375135567e-12,1.518046349233095e-12,3.85065417270511e-12,3.27094586223378e-13,4.65990896631544e-14,1.2061481754113004e-12,1.1816324343503893e-12,3.73339579798119e-12,2.612042264057545e-13,3.304221932335821e-14,3.831879606013759e-11,5.1382713155683486e-12,9.298116847626268e-12,1.1899024221841465e-12,7.559163062363223e-13,3.0515874505445866e-12,1.694473686008909e-12,9.214245518285099e-12,4.549995296459327e-13,5.58964720375724e-14,2.483552497635665e-12,1.224575672495373e-12,3.2620640331126214e-12,2.866958747538608e-13,1.095575633704068e-13,2.7468968182251736e-12,1.1969686447437084e-12,3.2206429480212907e-12,2.7048122826145413e-13,1.2638128254403569e-13,1.5045621578753825e-12,1.0464591321511372e-12,3.1261715630419712e-12,4.3665134170304053e-13,1.0256369810713063e-13,1.4020472256199067e-12,8.28447110891135e-13,2.2550067145336557e-12,2.8272893774471984e-13,6.81882179980143e-14,2.135515157082478e-12,1.579328244369748e-12,7.031606634730373e-12,6.013233810531506e-13,6.681752183950132e-14,2.040608498620253e-12,1.6209703248611388e-12,6.906259636218252e-12,4.659702171103582e-13,5.239428064222957e-14,1.2458151657052373e-11,1.5345900509939309e-12,3.001388329123193e-12,3.2725945054865657e-13,5.542856934023241e-14,2.581721647070577e-12,6.942626228783155e-13,1.816181064325841e-12,1.9403161569501728e-13,3.319991916202246e-14,1.662751229873061e-12,1.1405832919022773e-12,3.2749787314848213e-12,2.079000354682376e-13,2.736103357156445e-14
sub-048,1.822225419387069e-11,1.0585521503619636e-12,2.192367543545207e-12,5.815587345266936e-13,5.264765808947027e-13,3.5171173990815076e-12,4.154434000326679e-13,1.524386518923557e-12,2.1939372814343107e-13,1.472727784077802e-13,8.322662367402217e-12,7.880899875164614e-13,2.1978573767224968e-12,9.779519197656203e-13,1.4667654138747752e-12,5.7407595340537624e-12,1.0069543913798216e-12,2.7865066067170734e-12,7.249600566637927e-13,9.35653458316945e-13,3.2843535226340686e-12,3.6267021675872694e-13,1.0570692174292444e-12,3.524758201484415e-13,3.2405832001722664e-13,2.727566018154012e-12,5.039040349834886e-13,1.7480486050451089e-12,3.877450735148158e-13,2.5332785218197645e-13,1.7355923299998117e-11,1.2179302421034996e-12,2.2227998696722833e-12,3.251600695447867e-13,7.935728640446804e-14,8.376113347487129e-12,7.890800876941194e-13,1.6569677650554498e-12,2.8816433052911117e-13,6.670473619394394e-14,2.8690126850658763e-11,2.0043237004497207e-12,9.48019350723488e-12,5.861468531168999e-13,1.2725912302797605e-13,1.3328788481302627e-10,7.775336659335131e-12,1.0699998045027038e-11,1.0077787865784702e-12,8.824170195659237e-13,1.4499645004672131e-11,9.820643122184745e-13,2.496063811047912e-12,9.597888575494937e-13,1.0642554082577084e-12,1.6427899819356502e-11,1.162827479383399e-12,2.33464565630665e-12,6.646386211368536e-13,8.310845974664013e-13,5.811530053420164e-12,6.230672266875561e-13,1.6749853709877837e-12,8.907620118926467e-13,9.314982326361144e-13,6.365399726926318e-12,7.641650828794879e-13,1.6052907743507549e-12,5.97369726643006e-13,4.825591177023847e-13,3.161157299548318e-11,2.2458710842293156e-12,8.99354235723923e-12,6.849030249102834e-13,1.617062869030806e-13,3.760602022124227e-11,2.071702273362183e-12,6.034662629133548e-12,5.331584636169267e-13,1.802793538788958e-13,4.208906190391315e-12,8.083538426593387e-13,2.6828347821384594e-12,2.503419861141044e-13,1.108609242868498e-13,2.981023809887757e-12,4.733112660271689e-13,1.7502760698549245e-12,1.5132358484751595e-13,5.369281065979417e-14,9.95603463233846e-12,6.328080264374282e-13,1.7929490933917052e-12,2.1882006544328495e-13,5.518103430301436e-14
sub-049,4.043250657893338e-12,5.61891997837958e-13,4.2019500315707806e-12,2.7595897207903384e-13,8.274400876098514e-14,4.7104618715798376e-12,5.508040351444798e-13,3.901584709032766e-12,2.333770191274648e-13,6.78542171283839e-14,2.207984610821914e-12,7.249046166457942e-13,3.826771965306385e-12,2.8520754556879e-13,8.092087425176686e-14,2.551695443188229e-12,6.069902129482498e-13,3.526004124074113e-12,2.5631969478774896e-13,7.755406226302455e-14,1.3313774130175304e-12,4.651086129552143e-13,1.5855462580492627e-12,3.076831528082244e-13,4.326433822386996e-14,7.931119147457488e-13,3.4360228696985975e-13,1.2821574930590316e-12,2.445292822059981e-13,6.985841938366533e-14,2.2080542950963725e-12,5.677599812384552e-13,3.826970859408202e-12,3.695227184905526e-13,6.038718158328171e-14,2.254794584624182e-12,4.776690286081426e-13,3.9265537537672404e-12,2.7294117466139936e-13,3.756850662313057e-14,7.565744053703927e-12,1.6729367930914848e-12,1.4266535028304294e-11,8.254992238468321e-13,2.2085278341009864e-13,6.973166150730479e-12,2.2383814859901886e-12,1.7946412474998925e-11,9.423836972445602e-13,1.445758969160159e-13,1.854096176457084e-12,2.54896210447954e-13,9.061450954395394e-13,8.193455027201014e-14,2.4560001831411016e-14,4.387034034316526e-12,5.402819496484976e-13,2.6829288915296325e-12,2.1236939328795052e-13,7.241694618172136e-14,2.1051179521716583e-12,8.167599529596297e-13,1.7144911235257046e-12,4.4154773254731205e-13,1.6237153802994517e-13,2.6428635745961593e-12,5.392644450564107e-13,1.5623011644911883e-12,5.264502794149363e-13,2.750980405539592e-13,4.773561550269023e-12,1.4691119469985954e-12,9.263523869514182e-12,7.893110695739306e-13,2.135720276721905e-13,3.3402170981366683e-12,1.4504674943524407e-12,1.2559742539931023e-11,7.154827287040177e-13,1.497224980457087e-13,5.603007420541933e-12,9.314662015161763e-13,4.490468493082309e-12,3.019314877290643e-13,7.606278956005122e-14,2.709355748034023e-12,5.670004534018564e-13,2.2062578598570532e-12,2.4899674439719526e-13,4.1091365156596487e-14,2.924131291201635e-12,4.474863887554739e-13,3.3491703357006267e-12,2.2244848252955986e-13,3.45309880499826e-14
sub-050,6.13450331520704e-11,1.4989049390487334e-12,1.7285790024074976e-12,1.9127850718535396e-13,1.5648298082976744e-13,5.743071452767399e-12,1.1840054559097092e-12,1.6431403138008588e-12,1.4815338605550606e-13,9.951308731744668e-14,3.427551210326134e-11,1.8404342198889024e-12,1.8670976686259694e-12,3.056158397282407e-13,3.40252556233977e-13,1.1223439953059902e-11,1.9933649870425206e-12,1.9552816999670536e-12,2.6294744113244586e-13,2.322349527169477e-13,3.5661267828809306e-12,8.134633389877333e-13,9.088872258534139e-13,3.2636754614923343e-13,3.9989075193644234e-13,2.9209616979371673e-12,7.15702907748015e-13,7.183366270291309e-13,3.5922322528934005e-13,3.543114223888707e-13,5.152816977247839e-12,9.522194927364413e-13,2.421418206299812e-12,1.652002034609819e-13,8.741000250826406e-14,9.458882574287706e-12,6.195742776231187e-13,1.499828981661773e-12,1.1135394091867189e-13,4.71373979613118e-14,4.3122172796084975e-12,3.622640460656757e-12,5.011867776031666e-12,2.594812589318765e-13,1.334837892706427e-13,2.2582155063043685e-11,4.5398172692115225e-12,6.656820293424709e-12,2.8551099989652143e-13,1.2982877827499966e-13,2.478008614610976e-11,1.8036733527406572e-12,1.9086415599738853e-12,6.113838686510475e-13,7.186851558104108e-13,9.09220045935282e-12,1.102784050609892e-12,1.5300189975079441e-12,2.571266405567713e-13,2.1848051779030768e-13,4.632743901441296e-12,1.1252430600056885e-12,1.5969879398307993e-12,8.024579208190285e-13,8.263975098997413e-13,5.277203450919565e-12,1.3523723759537891e-12,1.3159348647525005e-12,7.65137207736146e-13,5.585129734614476e-13,4.795236186407737e-12,4.601745365917163e-12,4.203359180882279e-12,3.605261140016109e-13,2.350761621718598e-13,5.410749772942993e-12,4.547671091578492e-12,4.117020667208968e-12,2.9526934432772804e-13,2.0015670768106575e-13,6.8107227339216646e-12,3.1850394606130698e-12,2.5832112121611376e-12,1.1816473760870456e-13,4.105041691726336e-14,6.882064614222323e-12,2.02922015117179e-12,1.4859007976083335e-12,9.308286555173439e-14,3.508649899636676e-14,7.116247683374237e-12,8.157246020707183e-13,2.2875762375015725e-12,1.1143689954660807e-13,3.795812318573412e-14
sub-051,1.0052880169303174e-11,4.703243908985144e-13,1.3320157579342663e-12,2.4712547875942405e-13,1.8877657463907043e-13,4.9257440232481995e-11,1.0355669003261166e-12,1.7150004062854647e-12,3.081666595938191e-13,2.0987542520876478e-13,3.9789676700500816e-11,1.1150542530900986e-12,1.4501786275127067e-12,2.8817937118711913e-13,1.479733627875699e-13,1.2419111191563615e-11,7.421019300219512e-13,1.89510606157252e-12,2.3693653084658523e-13,9.635905946266554e-14,1.3467584321808256e-11,3.7854863155138006e-13,6.43839847211847e-13,2.1429258012260017e-13,1.3226425560743558e-13,1.3130908099603162e-11,4.317653473795485e-13,7.806968335192927e-13,1.912385828809709e-13,9.007755969286015e-14,1.056670893324064e-11,5.37767368007007e-13,1.6999507673073912e-12,1.8364422172389232e-13,7.950678430187144e-14,1.3189363345452799e-11,5.089857358029473e-13,1.5781824626747555e-12,1.8234447715387776e-13,7.149241369971438e-14,9.183645180793795e-12,9.027792821244529e-13,3.4983223428926882e-12,4.875666180847316e-13,3.6138008950367133e-13,1.252949304901573e-11,9.378968808464842e-13,3.982890496094912e-12,8.239105222078283e-13,6.698806476711494e-13,1.7358545329844088e-11,8.265763711877923e-13,1.381932265175748e-12,3.6716817813735434e-13,2.81034996545031e-13,7.725677445884148e-12,7.686803350819708e-13,1.5855325895927168e-12,2.5007048329209496e-13,1.31921248753485e-13,2.691108397884161e-12,5.523214848241713e-13,1.0003322888672568e-12,3.390163653086203e-13,2.7258334667764033e-13,6.722164007581142e-12,5.397810762297665e-13,1.0068782108961174e-12,2.9635269318528236e-13,2.0672965096943187e-13,6.407268379369786e-12,8.121809287988219e-13,2.3141847020470725e-12,2.828808955050117e-13,1.8214009908875847e-13,1.1730439729294687e-11,8.384260254360093e-13,3.409076903511945e-12,4.893918123479049e-13,3.715135854578657e-13,1.3777788349747789e-11,9.717231696715158e-13,1.84404172637909e-12,2.0686807815542606e-13,7.042236595409147e-14,1.3715432025496639e-11,8.249298249922245e-13,1.051905180673045e-12,1.8727317232181193e-13,4.1525118250116475e-14,1.390633391901544e-11,5.676098720084543e-13,1.837250950159062e-12,1.419490482640882e-13,4.029741800112736e-14
sub-052,7.0345444236216895e-12,9.034582196800011e-13,2.4311715444995738e-12,4.3370292572026493e-13,1.5367919733374549e-13,4.0111361551248565e-12,6.817268707512678e-13,2.160668423274425e-12,3.2100103207402223e-13,1.0140867029920477e-13,5.5983741932608534e-12,1.1306643830144375e-12,2.5576024816638015e-12,6.046290070371918e-13,2.1235391324408848e-13,4.961246121251243e-12,9.369382642372451e-13,2.402804087781563e-12,5.919865086248049e-13,2.9060931752694583e-13,2.378624174010027e-12,6.772950018742732e-13,2.26988114696544e-12,5.025675199997146e-13,9.527392284226355e-14,2.595858574833159e-12,7.72869065913447e-13,1.9248307637575702e-12,5.065035617673013e-13,1.6953167004015355e-13,2.6085862506342514e-12,8.992446576443633e-13,3.526253098773018e-12,4.713646724045362e-13,7.290620298048625e-14,2.8869597753264406e-12,8.249818204695811e-13,2.4951684720900417e-12,4.51446527267838e-13,6.478219340436167e-14,5.2259164712593746e-12,2.068958410831203e-12,1.1079043226351025e-11,5.441147344596491e-13,9.422373336290407e-14,5.35686611412931e-12,1.8896761090451197e-12,8.34235466033871e-12,5.34609992763663e-13,9.550908562081383e-14,9.773867391665254e-12,1.155626097403035e-12,2.4119410434634194e-12,5.854693293046796e-13,2.6511398478380377e-13,1.5950990311958166e-11,1.2988851219892263e-12,2.6437611478731247e-12,5.557111943351623e-13,2.390921649144025e-13,3.712290957537794e-12,1.0881538906455936e-12,2.22165913158697e-12,6.782855560283282e-13,3.837805605150207e-13,4.320709493590872e-12,9.570630176638257e-13,2.1198778093066276e-12,7.122173698627987e-13,4.766587758965728e-13,3.6081909153075676e-12,1.6600806040727272e-12,6.024261091253896e-12,6.287171037234563e-13,2.1855439904186553e-13,3.5763444106411977e-12,1.317444718584469e-12,3.6134814326438053e-12,5.360504138242801e-13,1.6204066102541496e-13,4.68267602178707e-12,1.1486598831577941e-12,2.713091289069905e-12,4.83974065684882e-13,1.4806455971645152e-13,4.756112336575228e-12,1.4096410436041715e-12,1.91395898155318e-12,6.172643988012097e-13,1.248877232739712e-13,3.3835547311969996e-12,8.525553343311098e-13,2.2875101857464497e-12,3.74537658089516e-13,4.929363601810806e-14
sub-053,7.468765445768736e-12,2.843922573346804e-12,4.673626660335441e-12,1.243311987216446e-12,7.336652261884951e-13,4.329171207166783e-12,2.913211355175642e-12,4.512059846742971e-12,2.9301971640704165e-13,1.318889272699177e-13,1.7556501230410195e-11,3.6573124157650096e-12,4.507422482436496e-12,7.743350089068353e-13,5.223476803141184e-13,1.0929803102505028e-11,3.66688547496957e-12,4.847968245951415e-12,7.188083143161521e-13,3.4786059068822957e-13,1.0055304238354931e-11,1.125182996718597e-12,1.316394270541055e-12,2.1916971027111077e-13,9.188482100050428e-14,9.388690769006877e-12,1.8102276933948167e-12,2.0764747266352753e-12,2.2445955269003023e-13,7.587529413989885e-14,4.100665782520574e-12,2.7837351226451186e-12,5.796554834960537e-12,3.189123724869791e-13,9.621918514677188e-14,5.22399526355313e-12,2.1061310992045074e-12,1.8157474125943363e-12,1.3912182848460113e-13,6.633693024058522e-14,6.683685560681676e-12,8.303258759729633e-12,1.6367490204806707e-11,7.16030641237628e-13,3.4237442627929027e-13,6.098283603563189e-12,8.233973986662963e-12,1.426354538121596e-11,8.297751349785565e-13,5.730642124079637e-13,1.9498055982715237e-11,6.195146574173452e-12,6.464207522415246e-12,1.8469944196044205e-12,2.0022390273280833e-12,7.446592807374782e-12,4.897873075581957e-12,5.7668568622412695e-12,4.577080230493883e-13,1.8846565413418677e-13,1.9826366244545867e-11,6.208325855026006e-12,6.061497925146851e-12,1.2060066061846882e-12,7.865064292888753e-13,2.181769178433803e-11,4.420050638906792e-12,4.937550907322803e-12,5.883062696672883e-13,2.12410948923739e-13,7.424631867125982e-12,8.940699187668422e-12,1.2022452968931368e-11,7.381600070883703e-13,3.9947423691081813e-13,4.598083103100611e-12,6.293466030293348e-12,7.368285928366297e-12,7.989665445219926e-13,5.126608439406988e-13,3.4439406025962626e-12,4.6950033226527005e-12,5.424937405915488e-12,3.144130448914694e-13,8.570404820504985e-14,2.988799855774866e-12,3.0587267012132417e-12,3.2419614779829305e-12,2.057889074315124e-13,4.237455782475129e-14,3.5366992243366925e-12,2.2233185893134617e-12,5.902297249434532e-12,2.689029775172928e-13,6.092649230167048e-14
sub-054,1.1950747376698194e-12,9.335879516628787e-13,5.093843365217434e-12,2.707551077612956e-13,5.191200433234438e-14,3.161879608031726e-12,1.2047968218237133e-12,5.838564916673473e-12,3.7719894703337015e-13,1.5397332391390267e-13,3.8804010086090115e-12,2.2383531154012134e-12,3.83606402744728e-12,6.265124893784303e-13,1.0400636118567998e-13,1.5440659010750336e-11,1.601524080392952e-12,4.532009317446225e-12,5.311345552242038e-13,1.9737733986021522e-13,1.875871132007294e-12,2.575725752893815e-12,3.0294975684710127e-12,4.998423617895325e-13,1.0119353070043311e-13,1.835446210422836e-12,1.5401512458833705e-12,2.6150289151235812e-12,4.913122295430739e-13,8.122293011510109e-14,2.1070014315923203e-12,3.517904338475128e-12,9.673586620973206e-12,6.359590176763945e-13,5.5315938787855326e-14,2.0403552078186853e-12,2.048177434182109e-12,9.701713010182073e-12,6.594302187351347e-13,4.58643727141133e-14,3.917884488102383e-12,5.121311580336426e-13,9.101933445859334e-13,1.4651580963912842e-13,4.5665954061434984e-14,5.291292416867401e-12,2.2867462131728573e-12,1.736542124340999e-11,8.03963299489235e-13,9.440487689941355e-14,1.0329533140328579e-11,1.3669556278520012e-12,3.977275228401953e-12,6.148617566479841e-13,3.6828222005389245e-13,6.054212483330609e-12,1.9129966182648367e-12,5.8995266433982886e-12,6.380507889629765e-13,3.423418395677579e-13,2.73663775627917e-12,1.8474802763602176e-12,3.825328862552018e-12,5.454363198382068e-13,2.308898061791545e-13,1.9751829285490977e-12,1.6138684462381629e-12,2.764886885515738e-12,4.889026452238679e-13,2.3667351326501277e-13,3.2003886611771398e-12,5.166770129571402e-12,1.8716013314542178e-11,8.946978230234937e-13,1.4675551469868392e-13,2.944998333009393e-12,2.4745345246302145e-12,1.25358808727425e-11,6.40223507746345e-13,7.13206289263074e-14,3.013951291429416e-12,2.129301395894276e-12,4.695922045441879e-12,5.771849374631577e-13,5.406016376965522e-14,2.3746969806024303e-12,1.690248030706649e-12,2.933743918152551e-12,5.304007246852178e-13,5.4466193177223753e-14,5.442592211925395e-12,1.8448455759318626e-12,7.387392165424791e-12,6.336099422611181e-13,5.091748522308149e-14
sub-055,9.900805831405016e-12,4.671174244776269e-13,2.4328437723425023e-12,5.688924527369213e-13,2.0957459041845936e-13,5.882712501790455e-12,5.546483016752427e-13,2.454795714427508e-12,6.199558123260765e-13,2.358574538647653e-13,1.1618719505641375e-11,6.784072175447381e-13,2.14032934144873e-12,6.820080152430764e-13,1.3257372860698714e-13,1.226324915950986e-11,7.821730945543193e-13,2.1617521713242693e-12,6.819375473167549e-13,1.7309369419770303e-13,2.6980787973607036e-12,5.029504205510323e-13,1.78553193117341e-12,9.14381945063489e-13,8.427987796081608e-14,2.2984920865832543e-12,6.138528667522596e-13,2.15865590477587e-12,1.1250513450900697e-12,9.252211741295115e-14,4.05599121877618e-12,4.828776130086732e-13,2.3310817261763623e-12,1.0311944211897915e-12,8.20378318042904e-14,3.340461720492775e-12,3.9005815260243864e-13,2.07437787310621e-12,8.691387265367599e-13,6.849631560742803e-14,4.259904805958257e-12,6.460367157261713e-13,1.3113776808511719e-11,8.847812244963564e-13,1.3228452800706651e-13,4.1525788296273095e-12,5.825573344343733e-13,1.2887837780134373e-11,8.019790834492832e-13,8.898961397830636e-14,1.0428616446204967e-11,7.619037540383112e-13,2.566514356392464e-12,5.68195857768341e-13,1.182911570995629e-13,7.497635603351919e-12,9.797027453551772e-13,2.9838078913419336e-12,6.513013390886384e-13,1.3962257954865174e-13,4.632683743757313e-12,6.711506663732704e-13,2.162641775049533e-12,7.140458219128704e-13,1.708241907169565e-13,5.388089512233645e-12,6.944985244223572e-13,2.1792722572299854e-12,6.872299078597921e-13,1.3718226444523287e-13,4.4846901741163215e-12,7.424672924580127e-13,5.770893453118487e-12,1.1585540269326552e-12,1.798123825523062e-13,3.6770404202055025e-12,5.949352925967194e-13,4.179362514671963e-12,1.0447531032458316e-12,9.575272925986092e-14,3.221507648203109e-12,6.603202146436964e-13,1.887042684457676e-12,5.378853873995574e-13,9.243159068667099e-14,2.741892868047268e-12,5.273079908175731e-13,1.2028273487562509e-12,6.505476201733638e-13,8.489246311941647e-14,4.091054580240404e-12,3.093548125143847e-13,2.3184017743540278e-12,4.07842177969573e-13,5.045678010552025e-14
sub-056,2.6018297129102794e-12,9.498370019137916e-13,5.1791609906729155e-12,1.5780503935189487e-13,3.695983185442107e-14,6.464408887857196e-12,1.2022037056353099e-12,5.894258712082772e-12,2.1677173096110506e-13,6.275145705494823e-14,2.3886874995824864e-12,1.3956423533889952e-12,4.921279419170021e-12,2.5939602960218086e-13,4.07339870825398e-14,1.960508291406499e-12,1.3653762535149928e-12,5.742719791654874e-12,2.650407491168967e-13,4.092772224833194e-14,1.0139426002343158e-12,8.188660565268448e-13,2.878702460078169e-12,2.355766514917346e-13,2.3179049482320705e-14,1.099491089767318e-12,6.381920196631456e-13,3.0224314181193506e-12,2.1650384051047853e-13,1.8830993847286814e-14,1.3949521383856183e-12,1.3641598817550296e-12,8.573471040710157e-12,2.625226201113264e-13,2.730726099200137e-14,1.2832785896384993e-12,1.1362713308920514e-12,7.164276941941239e-12,2.1595923190127988e-13,2.2444515653915104e-14,2.7451002704959804e-12,2.107959254953042e-12,1.0319889861510044e-11,2.835483122144132e-13,5.230362607417731e-14,3.4619678140624606e-12,2.099308643479374e-12,1.0494473036811474e-11,2.738212935241335e-13,3.7918322377147813e-14,4.0997803264068605e-12,1.1636724110153378e-12,4.289539017154906e-12,3.43645769424083e-13,2.089299400866e-13,6.041984338864843e-12,1.5928017272195574e-12,5.7919335157133636e-12,3.2481075172576486e-13,1.0934471816664769e-13,2.2488920587873615e-12,1.2785009322637807e-12,3.665258745665905e-12,2.86505105015227e-13,6.126549592663732e-14,1.6549611773986765e-12,1.1259779161249529e-12,3.0870076210583414e-12,2.4220048046622284e-13,3.524769110025845e-14,2.541095660574168e-12,3.0885267601326653e-12,1.2609657420674436e-11,3.7838117481496355e-13,5.526437148072088e-14,3.604128830407341e-12,2.76620780492022e-12,1.082857016643149e-11,3.021693173742624e-13,3.3729292215540314e-14,6.411688506584976e-12,1.8540101954465664e-12,6.682822718655098e-12,2.723613962058936e-13,2.370011766127485e-14,1.2377080932302023e-12,1.2912699080755631e-12,4.9396311913767995e-12,2.7771919520024637e-13,1.8740711104960375e-14,1.162335936101751e-12,9.340801246360244e-13,7.639648675281788e-12,1.9974328882896695e-13,2.0288690795253705e-14
